To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_clk,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,
i_reset,Input,PIN_AE10,4A,B4A_N0,PIN_AE10,1.2 V,,,,,,,,,,,,
i_start_L,Input,PIN_P11,3B,B3B_N0,PIN_P11,1.2 V,,,,,,,,,,,,
i_TX_start_L,Input,PIN_P12,3B,B3B_N0,PIN_P12,1.2 V,,,,,,,,,,,,
i_UART_RX,Input,PIN_M9,8A,B8A_N0,PIN_M9,2.5 V,,,,,,,,,,,,
o_hdmi_CLK,Output,PIN_Y25,5B,B5B_N0,PIN_Y25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_DE,Output,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_HS,Output,PIN_U26,5B,B5B_N0,PIN_U26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[23],Output,PIN_AD25,5B,B5B_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[22],Output,PIN_AC25,5B,B5B_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[21],Output,PIN_AB25,5B,B5B_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[20],Output,PIN_AA24,5B,B5B_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[19],Output,PIN_AB26,5B,B5B_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[18],Output,PIN_R26,5B,B5B_N0,PIN_R26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[17],Output,PIN_R24,5B,B5B_N0,PIN_R24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[16],Output,PIN_P21,5B,B5B_N0,PIN_P21,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[15],Output,PIN_P26,5B,B5B_N0,PIN_P26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[14],Output,PIN_N25,5B,B5B_N0,PIN_N25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[13],Output,PIN_P23,5B,B5B_N0,PIN_P23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[12],Output,PIN_P22,5B,B5B_N0,PIN_P22,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[11],Output,PIN_R25,5B,B5B_N0,PIN_R25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[10],Output,PIN_R23,5B,B5B_N0,PIN_R23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[9],Output,PIN_T26,5B,B5B_N0,PIN_T26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[8],Output,PIN_T24,5B,B5B_N0,PIN_T24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[7],Output,PIN_T23,5B,B5B_N0,PIN_T23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[6],Output,PIN_U24,5B,B5B_N0,PIN_U24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[5],Output,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[4],Output,PIN_V24,5B,B5B_N0,PIN_V24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[3],Output,PIN_W26,5B,B5B_N0,PIN_W26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[2],Output,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[1],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_video[0],Output,PIN_V23,5B,B5B_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_VS,Output,PIN_U25,5B,B5B_N0,PIN_U25,3.3-V LVTTL,,,,,,,,,,,,
o_LED[3],Output,PIN_E9,8A,B8A_N0,PIN_E9,2.5 V,,,,,,,,,,,,
o_LED[2],Output,PIN_D8,8A,B8A_N0,PIN_D8,2.5 V,,,,,,,,,,,,
o_LED[1],Output,PIN_K6,8A,B8A_N0,PIN_K6,2.5 V,,,,,,,,,,,,
o_LED[0],Output,PIN_L7,8A,B8A_N0,PIN_L7,2.5 V,,,,,,,,,,,,
o_UART_TX,Output,PIN_L9,8A,B8A_N0,PIN_L9,2.5 V,,,,,,,,,,,,
